num_layers,units,dropout_rate,learning_rate,train_acc,val_acc
1,128,0.3,0.001,99.35875216637781,88.37800369685766
1,128,0.4,0.001,99.14500288850375,88.28558225508318
1,128,0.5,0.001,98.56730213749277,87.98521256931609
1,64,0.3,0.001,98.35355285961872,87.82347504621072
1,128,0.2,0.001,99.39341421143848,87.77726432532347
1,128,0.5,0.005,99.03523974581167,87.63863216266174
1,64,0.2,0.001,98.88503755054882,87.31515711645102
1,64,0.4,0.001,96.83419988445985,87.17652495378928
1,128,0.4,0.005,99.20854997111496,87.08410351201479
1,64,0.5,0.001,93.43154246100521,86.94547134935306
1,64,0.4,0.005,98.09358752166378,86.94547134935306
1,64,0.3,0.005,99.08145580589255,86.94547134935306
1,128,0.2,0.005,99.39919121894857,86.71441774491682
1,64,0.5,0.005,94.82957827845176,86.69131238447319
1,128,0.3,0.005,99.44540727902947,86.55268022181146
2,128,0.3,0.001,97.78740612362796,86.41404805914972
1,32,0.2,0.001,94.68515309069902,86.1829944547135
1,64,0.2,0.005,99.43385326400924,86.15988909426987
2,128,0.4,0.001,93.21779318313114,86.090573012939
2,128,0.2,0.001,98.86192952050837,85.88262476894639
2,128,0.5,0.001,82.22414789139226,85.81330868761553
1,32,0.2,0.005,97.74119006354708,85.44362292051756
1,32,0.3,0.005,95.04332755632582,85.28188539741221
1,32,0.3,0.001,89.052570768342,85.25878003696857
2,64,0.3,0.001,86.63778162911612,85.21256931608133
2,64,0.2,0.001,95.10109763142692,85.00462107208872
1,32,0.4,0.001,79.74581166955517,84.79667282809612
2,128,0.2,0.005,95.63835932986713,84.75046210720888
2,128,0.3,0.005,90.0,84.31146025878003
2,64,0.2,0.005,91.07452339688041,84.17282809611831
2,64,0.4,0.001,69.13922588099365,84.03419593345656
1,32,0.4,0.005,82.71519352975159,83.98798521256931
1,32,0.5,0.001,63.92258809936453,83.82624768946395
1,32,0.5,0.005,65.29173887926054,83.34103512014788
2,64,0.3,0.005,78.78682842287695,83.1792975970425
2,32,0.2,0.001,75.10109763142691,82.5554528650647
3,128,0.2,0.001,92.91738879260542,82.4630314232902
2,128,0.4,0.005,78.20912767186597,82.18576709796673
2,32,0.2,0.005,76.04852686308492,82.00092421441775
3,128,0.3,0.001,85.00288850375506,81.63123844731977
2,64,0.5,0.001,46.14673599075679,80.91497227356747
2,32,0.3,0.001,53.391103408434425,79.96765249537893
3,128,0.4,0.001,70.1155401502022,79.9445471349353
3,64,0.2,0.001,77.89716926632005,79.43622920517561
2,64,0.4,0.005,57.23281340265742,78.95101663585952
3,128,0.2,0.005,78.53841709994222,78.4195933456562
2,32,0.3,0.005,54.94511842865396,77.12569316081331
2,32,0.4,0.001,31.374927787406126,76.20147874306839
3,64,0.2,0.005,62.76140958983246,75.02310536044362
3,64,0.3,0.001,54.09012131715771,74.46857670979668
2,128,0.5,0.005,53.327556325823224,71.7652495378928
3,128,0.3,0.005,55.66146735990757,71.62661737523105
2,32,0.4,0.005,34.36741767764298,71.02587800369686
3,128,0.5,0.001,44.991334488734836,70.6561922365989
2,64,0.5,0.005,35.586366262276144,67.0286506469501
2,128,0.2,0.0001,61.37492778740612,67.0286506469501
1,128,0.2,0.0001,70.76256499133449,65.06469500924214
2,32,0.5,0.001,16.83419988445985,62.40757855822551
1,128,0.3,0.0001,64.86424032351242,62.06099815157117
3,64,0.4,0.001,30.571923743500868,60.53604436229205
3,64,0.3,0.005,35.73079145002889,59.03419593345656
2,128,0.3,0.0001,46.66088965915656,58.10998151571165
1,128,0.4,0.0001,55.072212593876365,56.492606284658045
3,32,0.2,0.001,34.194107452339686,56.07670979667283
3,32,0.2,0.005,32.368573079145,53.881700554528656
3,32,0.3,0.001,21.629116117850952,50.73937153419593
2,32,0.5,0.005,15.742345465049103,50.0
1,128,0.5,0.0001,44.35586366262277,48.2902033271719
3,128,0.4,0.005,28.214904679376083,47.52772643253235
3,128,0.2,0.0001,28.98324667822068,44.38539741219963
2,128,0.4,0.0001,30.098209127671865,42.814232902033275
2,64,0.2,0.0001,31.530906990179087,41.19685767097967
3,64,0.4,0.005,18.636626227614094,40.43438077634011
3,64,0.5,0.001,15.337954939341422,38.37800369685767
1,64,0.2,0.0001,37.487001733102254,36.59889094269871
3,32,0.3,0.005,16.52801848642403,34.681146025878
1,64,0.3,0.0001,28.677065280184866,30.79944547134935
3,32,0.4,0.001,10.046216060080878,30.291127541589645
3,128,0.3,0.0001,14.14789139225881,28.558225508317932
2,64,0.3,0.0001,15.725014442518775,28.39648798521257
3,128,0.5,0.005,13.939919121894858,27.402957486136785
2,128,0.5,0.0001,13.847487001733102,26.085951940850276
3,64,0.2,0.0001,12.67475447718082,25.924214417744917
1,64,0.4,0.0001,21.27094165222415,24.907578558225506
3,64,0.5,0.005,9.231658001155402,20.078558225508317
3,32,0.4,0.005,8.336221837088388,19.339186691312385
1,64,0.5,0.0001,14.92201039861352,18.853974121996302
3,32,0.5,0.001,6.0369728480647025,17.513863216266174
2,64,0.4,0.0001,7.227036395147314,15.850277264325324
1,32,0.2,0.0001,12.010398613518197,12.869685767097966
3,128,0.4,0.0001,6.545349508954362,12.292051756007394
3,64,0.3,0.0001,4.974003466204506,11.22920517560074
2,32,0.2,0.0001,7.221259387637204,10.882624768946396
1,32,0.3,0.0001,8.659734257654534,9.681146025878004
3,32,0.5,0.005,3.8128249566724435,9.219038817005545
1,32,0.4,0.0001,6.1929520508376665,8.086876155268023
3,32,0.2,0.0001,3.7781629116117847,7.8558225508317925
2,32,0.3,0.0001,4.067013287117273,7.024029574861368
1,32,0.5,0.0001,4.15366839976892,5.961182994454713
2,64,0.5,0.0001,3.027151935297516,5.868761552680222
3,128,0.5,0.0001,3.5008665511265162,5.822550831792976
3,64,0.4,0.0001,2.5245522819179667,4.574861367837339
3,32,0.3,0.0001,2.310803004043905,4.2744916820702406
2,32,0.4,0.0001,1.900635470826112,4.043438077634011
3,32,0.4,0.0001,1.242056614673599,2.1719038817005547
3,32,0.5,0.0001,0.8434430964760254,1.5711645101663587
2,32,0.5,0.0001,1.1611785095320624,1.3863216266173752
3,64,0.5,0.0001,0.9127671865973426,0.9473197781885397
